value,layer,count,descriptive_name,fuel_type,area_ha,pct_of_valid
6,1,1122699,Matorrales y Arbustos Mesomorficos Densos,MT01,101042.91,23.58
7,1,1034892,Matorrales y Arbustos Mesomorficos Medios y Ralos,MT02,93140.28,21.73
1,1,861714,Pastizales Mesomorficos Densos,PCH1,77554.26,18.1
5,1,792975,Chacareria. Vinedos y Frutales,PCH5,71367.75,16.65
33,1,526271, Cascos Urbanos,SV02,47364.39,11.05
12,1,155786,Renovales Nativos diferentes al Tipo Siempreverde,MT07,14020.74,3.27
28,1,65152,Plantaciones Eucalipto Adultas (>10),PL10,5863.68,1.37
2,1,50532,Pastizales Mesoomorficos Ralos,PCH2,4547.88,1.06
32,1,38000,Cuerpos de Agua,SV01,3420.0,0.8
21,1,29236,Plantaciones Coniferas Adultas (12-17) sin Manejo,PL03,2631.24,0.61
34,1,28579,Terrenos Desnudos,SV03,2572.11,0.6
16,1,21299,Arbolado Nativo Denso,BN03,1916.91,0.45
24,1,10945,Plantaciones Coniferas Adultas (12-17) con Manejo,PL06,985.05,0.23
3,1,7213,Pastizales Higromorficos Densos,PCH3,649.17,0.15
23,1,5521,Plantaciones Coniferas Jovenes (4-11) con Manejo,PL05,496.89,0.12
14,1,4167,Formaciones con predominancia de Alerzales,BN01,375.03,0.09
19,1,1442,Plantaciones Coniferas Nuevas (0-3) sin Manejo,PL01,129.78,0.03
9,1,896,Matorrales y Arbustos Higromorificos Medios y Ralos,MT04,80.64,0.02
27,1,792,Plantaciones Eucaliptos Jovenes (4-10),PL09,71.28,0.02
17,1,701,Arbolado Nativo de Densidad Media,BN04,63.09,0.01
20,1,629,Plantaciones Coniferas Jovenes (4-11) sin Manejo,PL02,56.61,0.01
4,1,623,Pastizales Higromorficos Ralos,PCH4,56.07,0.01
18,1,466,Arbolado Nativo de Densidad Baja,BN05,41.94,0.01
25,1,400,Plantaciones Coniferas Mayores (>17) sin Manejo,PL07,36.0,0.01
31,1,273,Desechos Explotacion a Tala Rasa de Bosque Nativo,DX02,24.57,0.01
22,1,106,Plantaciones Coniferas Mayores (>17) sin Manejo,PL04,9.54,0.0
29,1,89,Plantaciones Latifoliadas y Mixtas,PL11,8.01,0.0
30,1,25,Desechos Explotacion a Tala Rasa de Plantaciones,DX01,2.25,0.0
11,1,1,Formaciones con predominancia de Ulex spp,MT06,0.09,0.0
8,1,1,Matorrales y Arbustos Higromorficos Densos,MT03,0.09,0.0
26,1,1,Plantaciones Eucaliptos Nuevas (0-3),PL08,0.09,0.0
