value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
5,5,689980,PCH5,PCH5,62098.2
7,7,314267,MT02,MT02,28284.03
33,33,310922,SV02,SV02,27982.98
16,16,246219,BN03,BN03,22159.71
19,19,209320,PL01,PL01,18838.8
34,34,159871,SV03,SV03,14388.39
33,5,126356,PCH5,SV02,11372.04
7,19,124786,PL01,MT02,11230.74
16,19,121701,PL01,BN03,10953.09
19,7,120854,MT02,PL01,10876.86
16,6,98896,MT01,BN03,8900.64
16,7,85779,MT02,BN03,7720.11
2,5,74644,PCH5,PCH2,6717.96
17,7,60935,MT02,BN04,5484.15
17,19,57232,PL01,BN04,5150.88
5,33,56897,SV02,PCH5,5120.73
5,2,44877,PCH2,PCH5,4038.93
11,5,43504,PCH5,MT06,3915.36
2,2,40505,PCH2,PCH2,3645.45
1,7,37797,MT02,PCH1,3401.73
11,7,35925,MT02,MT06,3233.25
16,12,34555,MT07,BN03,3109.95
11,19,33602,PL01,MT06,3024.18
19,6,32716,MT01,PL01,2944.44
17,16,29965,BN03,BN04,2696.85
16,29,29602,PL11,BN03,2664.18
5,19,27669,PL01,PCH5,2490.21
7,5,27603,PCH5,MT02,2484.27
1,19,27198,PL01,PCH1,2447.82
19,5,26869,PCH5,PL01,2418.21
19,16,25769,BN03,PL01,2319.21
16,24,24466,PL06,BN03,2201.94
2,19,23984,PL01,PCH2,2158.56
32,32,23812,SV01,SV01,2143.08
7,2,22958,PCH2,MT02,2066.22
3,5,21243,PCH5,PCH3,1911.87
33,19,21057,PL01,SV02,1895.13
7,30,20761,DX01,MT02,1868.49
19,30,20613,DX01,PL01,1855.17
17,17,20274,BN04,BN04,1824.66
11,2,20246,PCH2,MT06,1822.14
32,5,20194,PCH5,SV01,1817.46
5,3,19452,PCH3,PCH5,1750.68
7,6,18409,MT01,MT02,1656.81
24,7,17918,MT02,PL06,1612.62
6,6,16484,MT01,MT01,1483.56
16,23,15717,PL05,BN03,1414.53
24,6,15069,MT01,PL06,1356.21
24,19,14903,PL01,PL06,1341.27
17,6,14047,MT01,BN04,1264.23
19,23,13817,PL05,PL01,1243.53
2,7,13376,MT02,PCH2,1203.84
16,17,13073,BN04,BN03,1176.57
7,33,12700,SV02,MT02,1143
2,33,12665,SV02,PCH2,1139.85
16,34,12615,SV03,BN03,1135.35
24,24,12611,PL06,PL06,1134.99
34,19,12482,PL01,SV03,1123.38
33,2,12366,PCH2,SV02,1112.94
29,29,12094,PL11,PL11,1088.46
11,33,11816,SV02,MT06,1063.44
33,7,9523,MT02,SV02,857.07
29,19,9354,PL01,PL11,841.86
16,30,9341,DX01,BN03,840.69
19,33,9138,SV02,PL01,822.42
19,2,9095,PCH2,PL01,818.55
24,16,9041,BN03,PL06,813.69
