v_new,v_old,count,fuel_old,fuel_new,area_ha
5,5,440540,PCH5,PCH5,39648.6
1,5,323519,PCH5,PCH1,29116.71
6,16,303559,BN03,MT01,27320.31
33,33,292168,SV02,SV02,26295.12
7,7,264101,MT02,MT02,23769.09
1,7,240372,MT02,PCH1,21633.48
7,19,199762,PL01,MT02,17978.58
1,33,156013,SV02,PCH1,14041.17
1,19,144025,PL01,PCH1,12962.25
1,16,125817,BN03,PCH1,11323.53
1,2,110146,PCH2,PCH1,9913.14
1,11,109693,MT06,PCH1,9872.37
6,19,102638,PL01,MT01,9237.42
12,16,82102,BN03,MT07,7389.18
1,17,78928,BN04,PCH1,7103.52
7,16,76723,BN03,MT02,6905.07
33,5,64310,PCH5,SV02,5787.9
16,16,59045,BN03,BN03,5314.05
6,17,58899,BN04,MT01,5300.91
6,7,54559,MT02,MT01,4910.31
1,1,48995,PCH1,PCH1,4409.55
7,11,43000,MT06,MT02,3870
6,24,42835,PL06,MT01,3855.15
1,34,41168,SV03,PCH1,3705.12
5,2,40208,PCH2,PCH5,3618.72
32,32,37882,SV01,SV01,3409.38
34,34,36346,SV03,SV03,3271.14
7,17,35812,BN04,MT02,3223.08
5,33,34051,SV02,PCH5,3064.59
12,34,33308,SV03,MT07,2997.72
7,1,32927,PCH1,MT02,2963.43
24,16,30399,BN03,PL06,2735.91
2,5,29799,PCH5,PCH2,2681.91
7,34,28944,SV03,MT02,2604.96
21,16,24517,BN03,PL03,2206.53
12,17,24265,BN04,MT07,2183.85
5,3,23346,PCH3,PCH5,2101.14
12,19,22588,PL01,MT07,2032.92
1,24,21729,PL06,PCH1,1955.61
6,6,19443,MT01,MT01,1749.87
33,34,19051,SV03,SV02,1714.59
5,16,17975,BN03,PCH5,1617.75
1,3,15456,PCH3,PCH1,1391.04
2,2,14667,PCH2,PCH2,1320.03
28,34,14472,SV03,PL10,1302.48
7,2,13552,PCH2,MT02,1219.68
5,32,13388,SV01,PCH5,1204.92
7,33,13046,SV02,MT02,1174.14
5,29,12376,PL11,PCH5,1113.84
7,24,12164,PL06,MT02,1094.76
12,7,11891,MT02,MT07,1070.19
1,29,11357,PL11,PCH1,1022.13
5,17,11206,BN04,PCH5,1008.54
1,20,10434,PL02,PCH1,939.06
1,21,10143,PL03,PCH1,912.87
1,32,9594,SV01,PCH1,863.46
6,34,9528,SV03,MT01,857.52
24,34,9242,SV03,PL06,831.78
1,22,8803,PL04,PCH1,792.27
6,29,8760,PL11,MT01,788.4
32,34,8521,SV03,SV01,766.89
16,17,8399,BN04,BN03,755.91
33,19,8057,PL01,SV02,725.13
28,16,8013,BN03,PL10,721.17
14,5,7966,PCH5,BN01,716.94
5,11,7732,MT06,PCH5,695.88
6,1,7637,PCH1,MT01,687.33
6,20,7472,PL02,MT01,672.48
6,18,7224,BN05,MT01,650.16
7,22,7155,PL04,MT02,643.95
33,32,7144,SV01,SV02,642.96
5,22,7008,PL04,PCH5,630.72
6,2,7000,PCH2,MT01,630
28,27,6849,PL09,PL10,616.41
16,19,6753,PL01,BN03,607.77
2,11,6631,MT06,PCH2,596.79
31,34,6452,SV03,DX02,580.68
14,16,6444,BN03,BN01,579.96
6,33,6419,SV02,MT01,577.71
28,19,6387,PL01,PL10,574.83
21,17,6018,BN04,PL03,541.62
6,12,5984,MT07,MT01,538.56
6,23,5978,PL05,MT01,538.02
7,5,5878,PCH5,MT02,529.02
6,22,5780,PL04,MT01,520.2
28,33,5503,SV02,PL10,495.27
24,19,5480,PL01,PL06,493.2
12,22,5476,PL04,MT07,492.84
33,16,5434,BN03,SV02,489.06
7,30,5393,DX01,MT02,485.37
5,20,5341,PL02,PCH5,480.69
6,21,5326,PL03,MT01,479.34
14,19,5263,PL01,BN01,473.67
7,29,5179,PL11,MT02,466.11
33,2,5171,PCH2,SV02,465.39
28,7,5162,MT02,PL10,464.58
14,33,5115,SV02,BN01,460.35
3,5,5020,PCH5,PCH3,451.8
12,29,4945,PL11,MT07,445.05
5,19,4908,PL01,PCH5,441.72
14,7,4889,MT02,BN01,440.01
5,21,4742,PL03,PCH5,426.78
1,18,4663,BN05,PCH1,419.67
5,6,4636,MT01,PCH5,417.24
28,29,4569,PL11,PL10,411.21
21,29,4297,PL11,PL03,386.73
7,23,4224,PL05,MT02,380.16
16,5,4135,PCH5,BN03,372.15
31,5,4129,PCH5,DX02,371.61
33,7,4082,MT02,SV02,367.38
6,5,3996,PCH5,MT01,359.64
12,24,3983,PL06,MT07,358.47
5,7,3775,MT02,PCH5,339.75
16,24,3670,PL06,BN03,330.3
1,30,3639,DX01,PCH1,327.51
21,27,3568,PL09,PL03,321.12
16,29,3538,PL11,BN03,318.42
33,11,3532,MT06,SV02,317.88
1,6,3431,MT01,PCH1,308.79
33,17,3356,BN04,SV02,302.04
24,7,3343,MT02,PL06,300.87
6,25,3310,PL07,MT01,297.9
2,19,3308,PL01,PCH2,297.72
7,21,3303,PL03,MT02,297.27
16,21,3102,PL03,BN03,279.18
12,12,3094,MT07,MT07,278.46
6,26,3091,PL08,MT01,278.19
24,17,3014,BN04,PL06,271.26
12,20,2983,PL02,MT07,268.47
5,27,2954,PL09,PCH5,265.86
1,23,2793,PL05,PCH1,251.37
19,19,2775,PL01,PL01,249.75
14,11,2764,MT06,BN01,248.76
16,33,2727,SV02,BN03,245.43
6,11,2687,MT06,MT01,241.83
27,16,2662,BN03,PL09,239.58
28,2,2518,PCH2,PL10,226.62
2,33,2386,SV02,PCH2,214.74
12,6,2365,MT01,MT07,212.85
23,16,2338,BN03,PL05,210.42
14,17,2327,BN04,BN01,209.43
21,21,2294,PL03,PL03,206.46
3,3,2213,PCH3,PCH3,199.17
16,7,2185,MT02,BN03,196.65
5,18,2132,BN05,PCH5,191.88
28,21,2128,PL03,PL10,191.52
21,22,2116,PL04,PL03,190.44
19,16,2074,BN03,PL01,186.66
24,24,2050,PL06,PL06,184.5
28,17,1975,BN04,PL10,177.75
33,3,1958,PCH3,SV02,176.22
7,4,1944,PCH4,MT02,174.96
32,33,1930,SV02,SV01,173.7
21,19,1919,PL01,PL03,172.71
5,28,1823,PL10,PCH5,164.07
1,8,1812,MT03,PCH1,163.08
12,1,1806,PCH1,MT07,162.54
12,26,1768,PL08,MT07,159.12
24,29,1753,PL11,PL06,157.77
7,20,1699,PL02,MT02,152.91
5,24,1662,PL06,PCH5,149.58
12,33,1612,SV02,MT07,145.08
16,20,1592,PL02,BN03,143.28
34,19,1579,PL01,SV03,142.11
12,21,1547,PL03,MT07,139.23
1,9,1535,MT04,PCH1,138.15
21,24,1530,PL06,PL03,137.7
7,18,1521,BN05,MT02,136.89
1,4,1520,PCH4,PCH1,136.8
20,16,1508,BN03,PL02,135.72
33,20,1496,PL02,SV02,134.64
31,33,1487,SV02,DX02,133.83
1,27,1479,PL09,PCH1,133.11
21,28,1458,PL10,PL03,131.22
3,2,1431,PCH2,PCH3,128.79
33,29,1407,PL11,SV02,126.63
6,27,1382,PL09,MT01,124.38
29,16,1340,BN03,PL11,120.6
5,25,1312,PL07,PCH5,118.08
17,16,1303,BN03,BN04,117.27
7,9,1289,MT04,MT02,116.01
21,20,1281,PL02,PL03,115.29
23,5,1253,PCH5,PL05,112.77
2,7,1249,MT02,PCH2,112.41
2,3,1238,PCH3,PCH2,111.42
24,5,1229,PCH5,PL06,110.61
24,22,1219,PL04,PL06,109.71
28,28,1209,PL10,PL10,108.81
24,21,1205,PL03,PL06,108.45
14,2,1198,PCH2,BN01,107.82
5,8,1164,MT03,PCH5,104.76
23,17,1131,BN04,PL05,101.79
31,7,1116,MT02,DX02,100.44
16,22,1088,PL04,BN03,97.92
33,6,1064,MT01,SV02,95.76
6,30,1058,DX01,MT01,95.22
21,7,1052,MT02,PL03,94.68
2,16,1011,BN03,PCH2,90.99
28,5,1011,PCH5,PL10,90.99
7,13,1000,MT08,MT02,90
16,28,997,PL10,BN03,89.73
32,5,983,PCH5,SV01,88.47
28,11,968,MT06,PL10,87.12
21,2,961,PCH2,PL03,86.49
2,34,959,SV03,PCH2,86.31
