ID,Name,pred_fuel_type,N,match
1,PCH3,PCH3,161,TRUE
2,SV01,SV01,310,TRUE
3,SV01,SV01,258,TRUE
4,SV01,SV01,3683,TRUE
5,PCH5,PCH5,490,TRUE
6,MT02,MT02,35,TRUE
7,PL02,PL02,28,TRUE
8,PCH5,PCH5,19,TRUE
9,MT01,MT01,13,TRUE
10,PL10,PL10,22,TRUE
11,PCH3,PCH3,70,TRUE
12,PCH3,PCH3,80,TRUE
13,PCH5,PCH5,110,TRUE
14,PCH5,PCH5,1118,TRUE
15,MT01,MT01,95,TRUE
16,MT02,MT02,235,TRUE
17,MT01,MT01,150,TRUE
18,MT02,MT02,239,TRUE
19,MT01,MT01,165,TRUE
20,PCH5,PCH5,131,TRUE
21,MT02,MT02,592,TRUE
22,MT01,MT01,35,TRUE
23,PCH3,PCH3,79,TRUE
24,MT07,MT07,396,TRUE
25,MT07,MT07,193,TRUE
26,MT07,MT07,283,TRUE
27,SV03,SV03,287,TRUE
28,MT07,MT07,356,TRUE
29,PL10,PL10,94,TRUE
30,PL10,PL10,47,TRUE
31,PL10,PL10,46,TRUE
32,PCH3,PCH3,419,TRUE
33,PL03,PL03,41,TRUE
34,PL03,PL03,108,TRUE
35,PCH3,PCH3,90,TRUE
36,PL03,PL03,123,TRUE
37,MT02,MT02,724,TRUE
38,PCH5,PCH5,173,TRUE
39,PCH4,PCH4,577,TRUE
40,SV01,SV01,122,TRUE
41,SV01,SV01,95,TRUE
42,PCH5,PCH5,54,TRUE
43,MT01,MT01,197,TRUE
44,MT01,MT01,55,TRUE
45,MT02,MT02,54,TRUE
