value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
34,34,8877490,SV03,SV03,798974.1
33,33,1541296,SV02,SV02,138716.64
5,5,1483560,PCH5,PCH5,133520.4
16,16,989747,BN03,BN03,89077.23
19,19,988763,PL01,PL01,88988.67
7,7,706296,MT02,MT02,63566.64
16,19,384523,PL01,BN03,34607.07
19,7,376605,MT02,PL01,33894.45
7,19,286383,PL01,MT02,25774.47
33,5,282804,PCH5,SV02,25452.36
16,6,231324,MT01,BN03,20819.16
16,7,178681,MT02,BN03,16081.29
34,19,173105,PL01,SV03,15579.45
16,12,160055,MT07,BN03,14404.95
11,5,159894,PCH5,MT06,14390.46
2,2,159282,PCH2,PCH2,14335.38
2,5,158270,PCH5,PCH2,14244.3
17,19,150135,PL01,BN04,13512.15
17,7,129978,MT02,BN04,11698.02
11,19,126213,PL01,MT06,11359.17
19,6,124070,MT01,PL01,11166.3
19,30,117398,DX01,PL01,10565.82
34,16,117230,BN03,SV03,10550.7
5,33,114795,SV02,PCH5,10331.55
34,33,114600,SV02,SV03,10314
19,16,113044,BN03,PL01,10173.96
17,16,111292,BN03,BN04,10016.28
5,2,101613,PCH2,PCH5,9145.17
16,29,100906,PL11,BN03,9081.54
11,2,96698,PCH2,MT06,8702.82
11,7,96498,MT02,MT06,8684.82
32,32,93187,SV01,SV01,8386.83
19,5,90646,PCH5,PL01,8158.14
7,2,83153,PCH2,MT02,7483.77
1,19,81314,PL01,PCH1,7318.26
16,24,79642,PL06,BN03,7167.78
33,19,79452,PL01,SV02,7150.68
7,5,78664,PCH5,MT02,7079.76
1,7,75123,MT02,PCH1,6761.07
2,19,73628,PL01,PCH2,6626.52
17,17,69949,BN04,BN04,6295.41
5,19,67897,PL01,PCH5,6110.73
7,30,65862,DX01,MT02,5927.58
19,2,63290,PCH2,PL01,5696.1
19,34,62377,SV03,PL01,5613.93
34,7,61638,MT02,SV03,5547.42
19,33,57155,SV02,PL01,5143.95
19,23,56376,PL05,PL01,5073.84
16,23,56253,PL05,BN03,5062.77
6,6,49558,MT01,MT01,4460.22
29,29,46474,PL11,PL11,4182.66
33,34,45623,SV03,SV02,4106.07
12,12,44723,MT07,MT07,4025.07
33,2,44698,PCH2,SV02,4022.82
16,34,43458,SV03,BN03,3911.22
24,24,42521,PL06,PL06,3826.89
2,33,42439,SV02,PCH2,3819.51
34,2,41461,PCH2,SV03,3731.49
16,17,41417,BN04,BN03,3727.53
2,7,40494,MT02,PCH2,3644.46
16,27,38840,PL09,BN03,3495.6
19,29,38521,PL11,PL01,3466.89
19,26,38469,PL08,PL01,3462.21
16,26,37813,PL08,BN03,3403.17
34,6,37620,MT01,SV03,3385.8
24,19,37517,PL01,PL06,3376.53
7,33,37309,SV02,MT02,3357.81
17,6,36704,MT01,BN04,3303.36
5,3,36685,PCH3,PCH5,3301.65
11,30,36655,DX01,MT06,3298.95
32,5,35542,PCH5,SV01,3198.78
24,7,35377,MT02,PL06,3183.93
3,5,34291,PCH5,PCH3,3086.19
7,6,34166,MT01,MT02,3074.94
11,33,32342,SV02,MT06,2910.78
24,6,32222,MT01,PL06,2899.98
29,19,31287,PL01,PL11,2815.83
17,29,29776,PL11,BN04,2679.84
24,16,28170,BN03,PL06,2535.3
34,12,27276,MT07,SV03,2454.84
16,30,26371,DX01,BN03,2373.39
5,4,25016,PCH4,PCH5,2251.44
11,4,24805,PCH4,MT06,2232.45
7,34,24515,SV03,MT02,2206.35
11,11,24034,MT06,MT06,2163.06
20,5,23348,PCH5,PL02,2101.32
1,1,23269,PCH1,PCH1,2094.21
29,16,23164,BN03,PL11,2084.76
20,19,22989,PL01,PL02,2069.01
2,30,22479,DX01,PCH2,2023.11
1,34,22013,SV03,PCH1,1981.17
16,33,21574,SV02,BN03,1941.66
33,7,21499,MT02,SV02,1934.91
7,16,21273,BN03,MT02,1914.57
2,34,21194,SV03,PCH2,1907.46
21,5,21091,PCH5,PL03,1898.19
30,30,20391,DX01,DX01,1835.19
32,33,19090,SV02,SV01,1718.1
21,16,19044,BN03,PL03,1713.96
21,19,18796,PL01,PL03,1691.64
22,19,18785,PL01,PL04,1690.65
27,27,18528,PL09,PL09,1667.52
22,6,18323,MT01,PL04,1649.07
5,7,18292,MT02,PCH5,1646.28
33,16,18155,BN03,SV02,1633.95
34,32,18061,SV01,SV03,1625.49
